,home,away,posesión_home,posesión_away,pases_home,pases_away,disparos_home,disparos_away
185,Celta Vigo,Betis,40%,60%,284 of 374 — 76%,82% — 459 of 559,5 of 18 — 28%,21% — 3 of 14
186,Girona,Atlético Madrid,52%,48%,470 of 536 — 88%,84% — 421 of 504,9 of 17 — 53%,67% — 12 of 18
187,Osasuna,Almería,52%,48%,438 of 560 — 78%,77% — 400 of 521,2 of 14 — 14%,0% — 0 of 4
188,Sevilla,Athletic Club,61%,39%,536 of 658 — 81%,72% — 304 of 425,2 of 11 — 18%,33% — 5 of 15
189,Las Palmas,Barcelona,44%,56%,340 of 424 — 80%,81% — 443 of 549,3 of 12 — 25%,29% — 4 of 14
190,Sevilla,Alavés,68%,32%,523 of 632 — 83%,68% — 201 of 294,3 of 18 — 17%,50% — 8 of 16
191,Las Palmas,Villarreal,54%,46%,481 of 565 — 85%,81% — 386 of 475,3 of 8 — 38%,18% — 3 of 17
192,Mallorca,Celta Vigo,57%,43%,363 of 481 — 75%,73% — 271 of 369,6 of 17 — 35%,33% — 2 of 6
193,Athletic Club,Real Sociedad,49%,51%,262 of 398 — 66%,69% — 285 of 414,3 of 10 — 30%,11% — 1 of 9
194,Betis,Granada,57%,43%,395 of 496 — 80%,76% — 288 of 379,6 of 25 — 24%,33% — 2 of 6
195,Almería,Girona,46%,54%,352 of 439 — 80%,83% — 429 of 516,3 of 20 — 15%,20% — 1 of 5
196,Cádiz,Valencia,57%,43%,312 of 429 — 73%,60% — 198 of 330,1 of 9 — 11%,56% — 5 of 9
197,Alavés,Cádiz,49%,51%,265 of 376 — 70%,75% — 291 of 388,2 of 12 — 17%,11% — 1 of 9
198,Rayo Vallecano,Las Palmas,45%,55%,327 of 447 — 73%,80% — 441 of 551,3 of 16 — 19%,50% — 5 of 10
199,Villarreal,Mallorca,51%,49%,380 of 481 — 79%,73% — 336 of 459,5 of 18 — 28%,25% — 2 of 8
200,Valencia,Athletic Club,40%,60%,298 of 414 — 72%,80% — 508 of 633,1 of 6 — 17%,50% — 3 of 6
201,Celta Vigo,Real Sociedad,49%,51%,356 of 488 — 73%,75% — 387 of 517,2 of 6 — 33%,33% — 2 of 6
202,Osasuna,Getafe,43%,57%,200 of 321 — 62%,69% — 292 of 425,7 of 13 — 54%,70% — 7 of 10
203,Real Madrid,Almería,73%,27%,592 of 706 — 84%,63% — 162 of 256,5 of 17 — 29%,20% — 2 of 10
204,Betis,Barcelona,37%,63%,288 of 360 — 80%,84% — 525 of 623,4 of 14 — 29%,36% — 4 of 11
205,Girona,Sevilla,55%,45%,530 of 601 — 88%,83% — 415 of 501,8 of 12 — 67%,33% — 3 of 9
206,Granada,Atlético Madrid,53%,47%,523 of 619 — 84%,86% — 464 of 542,1 of 17 — 6%,50% — 5 of 10
207,Almería,Alavés,64%,36%,459 of 574 — 80%,67% — 220 of 328,7 of 19 — 37%,20% — 2 of 10
208,Real Sociedad,Rayo Vallecano,51%,49%,315 of 434 — 73%,69% — 287 of 416,3 of 6 — 50%,0% — 0 of 5
209,Las Palmas,Real Madrid,53%,47%,536 of 590 — 91%,88% — 456 of 521,2 of 7 — 29%,38% — 5 of 13
